ExperimentID,Investigators,Bin_Original,Bin_Final,Treatment,PlantRep,SoilDepth,HtFirstInflor,MassFirstInflor,CountRayFlowers,CountDiskFlowers,MassVeg,FinalMassTotal,MassRemoved,,,,
Resources,GrossMoserNataleVirlarknight,1,L,Low,24,1.8,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,Mid,5,1.4,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,Mid,24,1.3,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,High,3,1.8,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,High,9,1.3,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,High,10,1.5,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,High,12,1.3,,,,,,,,"11/7/16 - plant has 'furry-looking' growths on bottom half, most pronounced at junctures where 'leaves' fork",,,
Resources,GrossMoserNataleVirlarknight,1,L,High,14,2,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,High,16,2.1,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,High,17,2.1,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,High,19,1.7,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,1,L,High,20,1.9,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Low,20,1.8,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Mid,2,2,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Mid,8,1.7,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Mid,9,1.4,,,,,,,,10/21/16 - looks purple,11/04/16 - wrinkly and shriveled,,
Resources,GrossMoserNataleVirlarknight,2,R,Mid,12,1.2,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Mid,13,1.7,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Mid,14,1.7,,,,,,,,10/03/16 - Lisa was startled by loud greenhouse machinery activating while watering this plant and spilled. Spill was estimated at 0.5mL and 0.5mL of solution 2 was added to replace.,,,
Resources,GrossMoserNataleVirlarknight,2,R,Mid,21,0.8,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,High,1,1,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,High,6,1.3,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,High,7,1.5,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,High,8,1.3,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,High,18,1.9,,,,,,,,10/21/16 - looks purple,,,
Resources,GrossMoserNataleVirlarknight,2,R,High,22,1.8,,,,,,,,10/05/16 - Daphne noticed that the stems of the leaves are looking brown.,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,4,1.8,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,5,1.5,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,7,0.9,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,9,1.9,,,,,,,,10/21/16 - looks purple,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,14,2.1,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,15,1.9,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,20,1.4,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,21,2.8,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,22,1.5,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,2,R,Control,23,1.2,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Low,1,0.6,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Low,14,0.9,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Low,16,0.9,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Low,18,0.7,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Low,22,0.9,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Mid,1,1,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Mid,7,0.9,,,,,,,,10/18/16 - Leaves are droopy. Dying?,10/21/16 - looks purple,11/04/16 - may be shorter because tips are extremely dry and breaking off,
Resources,GrossMoserNataleVirlarknight,3,J,Mid,10,0.5,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Mid,11,1.3,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Mid,17,0.3,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Mid,18,0.8,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,High,2,1,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,High,5,2.5,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,High,11,0.8,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,High,15,0.8,,,,,,,,11/14/16 - mistakenly watered plant with 10mL of treatment and 5mL of distilled water,,,
Resources,GrossMoserNataleVirlarknight,3,J,High,21,0.5,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,High,23,0.6,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Control,1,1.2,,,,,,,,,,,
Resources,GrossMoserNataleVirlarknight,3,J,Control,2,0.4,,,,,,,,10/18/16 - Bottom of leaves starting to look a little brown,,,
Resources,GrossMoserNataleVirlarknight,3,J,Control,3,0.9,,,,,,,,"10/05/16 - After pouring in 5mL of T3 near plant, it became uprooted",,,10/12/16 - Plant is dried out and dead.
Resources,GrossMoserNataleVirlarknight,3,J,Control,6,1.4,,,,,,,,,,,
